"Fterm","classlvl.x","cnt.x","1.x","2.x","3.x","4.x","g-p.x","master.x","Phd.x","spcl.x","new.x","cnt.y.x","1.y","2.y","3.y","4.y","g-p.y","master.y","Phd.y","spcl.y","new.y","cnt.y.y","FTDCU","Grad","Transfer"
1004,"1",9141,0.733617766108741,0.209605076031069,0.000546986106552894,0.000109397221310579,0,0,0,0,309,7026,0.239681184173071,0.666666666666667,0.00128095644748079,0.000142328494164532,0,0,0,0,7260,8969,6824,1549,1766
1004,"2",7720,0.000906735751295337,0.651554404145078,0.293782383419689,0,0,0.000129533678756477,0.000129533678756477,0,313,7264,0.000412995594713656,0.30988436123348,0.60875550660793,0.00137665198237885,0.000275330396475771,0,0,0,1193,8136,6824,1549,1766
1004,"3",8617,0,0.000348149007775328,0.661367065103864,0.303121736103052,0,0,0,0,326,8310,0.000120336943441637,0,0.412635379061372,0.532851985559567,0.00228640192539109,0.000240673886883273,0,0,713,8583,6824,1549,1766
1004,"4",8546,0.000234027615258601,0,0.000585069038146501,0.771238006084718,0,0.0106482564942663,0.000702082845775802,0,309,9529,0,0,0.000734599643194459,0.438765872599433,0.00703116801343268,0.0714660510022038,0.000944485255535733,0,248,8883,6824,1549,1766
1004,"g-p",1367,0,0,0,0.00365764447695684,0.98902706656913,0,0,0,4,1356,0,0,0,0.000737463126843658,0.771386430678466,0.00147492625368732,0.000737463126843658,0,238,1378,6824,1549,1766
1004,"master",4906,0,0,0.000203832042397065,0.00183448838157358,0,0.790052996331023,0.0118222584590298,0,867,4856,0,0,0,0.00226523887973641,0.000823723228995058,0.561367380560132,0.0296540362438221,0,1697,5141,6824,1549,1766
1004,"Phd",2751,0,0,0,0,0,0.00617957106506725,0.90948745910578,0,144,2711,0,0,0,0,0.000737735153080044,0.00959055699004058,0.812984138694209,0,476,2834,6824,1549,1766
1004,"spcl",318,0.00628930817610063,0.00628930817610063,0.0188679245283019,0.00628930817610063,0,0.0125786163522013,0,0.449685534591195,160,303,0.0693069306930693,0.0264026402640264,0.0099009900990099,0.0099009900990099,0,0.0231023102310231,0,0.214521452145215,238,303,6824,1549,1766
1014,"1",8969,0.73174266919389,0.213178726725387,0.00033448544988293,0,0,0.000111495149960977,0,0,345,6918,0.231280716970223,0.680688060132986,0.00173460537727667,0,0,0,0,0,7235,8860,6767,1564,1874
1014,"2",8136,0.000614552605703048,0.655113077679449,0.291666666666667,0,0,0,0,0,344,7590,0,0.290250329380764,0.634782608695652,0.000658761528326746,0.000658761528326746,0,0,0.000131752305665349,1071,7986,6767,1564,1874
